category,file,line,agent,start,duration_ms,status
ci_status_calls,Architect-2026-09-08T18-33-17-072Z.jsonl,152,Architect,1788896520505,5705,completed
ci_status_calls,Architect-2026-09-08T18-33-17-072Z.jsonl,484,Architect,1788902820301,7870,completed
ci_status_calls,Architect-2026-09-08T18-33-17-072Z.jsonl,560,Architect,1788902888621,5228,completed
ci_status_calls,Architect-2026-09-08T18-33-17-072Z.jsonl,608,Architect,1788903064785,5835,completed
ci_status_calls,Architect-2026-09-08T21-51-18-079Z.jsonl,119,Architect,1788915560048,115573,completed
ci_status_calls,Architect-2026-09-08T21-51-18-079Z.jsonl,245,Architect,1788930065239,114894,completed
ci_status_calls,Architect-2026-09-09T07-22-19-542Z.jsonl,78,Architect,1788968510217,5197,completed
ci_status_calls,Architect-2026-09-09T07-22-19-542Z.jsonl,123,Architect,1788969122323,5638,completed
ci_status_calls,Architect-2026-09-09T07-22-19-542Z.jsonl,131,Architect,1788969129639,5049,completed
ci_status_calls,Architect-2026-09-09T07-22-19-542Z.jsonl,139,Architect,1788969136146,7400,completed
ci_status_calls,Astra-Reviewer-2026-09-08T18-34-03-771Z.jsonl,159,Astra-Reviewer,1788896090476,770,completed
ci_status_calls,Astra-Reviewer-2026-09-09T03-26-51-943Z.jsonl,894,Astra-Reviewer,1788971805190,1027,completed
ci_status_calls,Astra-Reviewer-2026-09-09T03-26-51-943Z.jsonl,905,Astra-Reviewer,1788971825309,800,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,622,Builder,1788820551393,1121,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,627,Builder,1788820554907,2336,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,634,Builder,1788820558291,1840,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,639,Builder,1788820561556,4933,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,794,Builder,1788821264065,2049,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,799,Builder,1788821267529,1982,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,803,Builder,1788821270865,3889,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,809,Builder,1788821276257,3549,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,815,Builder,1788821281611,1695,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,820,Builder,1788821284692,1232,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,824,Builder,1788821287141,2904,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,3155,Builder,1788834029115,1421,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,3167,Builder,1788834039224,121607,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,3219,Builder,1788834196726,4075,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,3225,Builder,1788834206345,4119,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,3238,Builder,1788834227186,62795,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,3252,Builder,1788834312781,151637,completed
ci_status_calls,Builder-2026-09-07T20-36-55-650Z.jsonl,3342,Builder,1788836330971,121689,completed
ci_status_calls,Foble-2026-09-06T16-04-25-591Z.jsonl,1643,Foble,1788720909929,3231,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,549,Gemini-Builder,1789002062106,637,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,552,Gemini-Builder,1789002076908,712,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,555,Gemini-Builder,1789002084242,600042,failed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,567,Gemini-Builder,1789002158427,689,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,573,Gemini-Builder,1789002186669,687,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,580,Gemini-Builder,1789002212127,710,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,586,Gemini-Builder,1789002237504,735,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,593,Gemini-Builder,1789002264010,665,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,595,Gemini-Builder,1789002266534,2627,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,597,Gemini-Builder,1789002271084,1124,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,604,Gemini-Builder,1789002310315,743,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,606,Gemini-Builder,1789002312604,1237,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,613,Gemini-Builder,1789002340918,833,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,615,Gemini-Builder,1789002344198,1159,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,623,Gemini-Builder,1789002383047,689,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,625,Gemini-Builder,1789002385495,2735,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,627,Gemini-Builder,1789002389899,1244,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,629,Gemini-Builder,1789002392792,1074,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,636,Gemini-Builder,1789002432192,867,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,638,Gemini-Builder,1789002434903,1275,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,646,Gemini-Builder,1789002472571,770,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,648,Gemini-Builder,1789002475738,1280,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,651,Gemini-Builder,1789002478871,1058,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,661,Gemini-Builder,1789002529870,834,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,663,Gemini-Builder,1789002533426,1398,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,665,Gemini-Builder,1789002536974,759,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,674,Gemini-Builder,1789002587889,879,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,677,Gemini-Builder,1789002591157,2696,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,679,Gemini-Builder,1789002595482,1207,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,686,Gemini-Builder,1789002634872,831,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,691,Gemini-Builder,1789002649605,1154,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,774,Gemini-Builder,1789002691519,713,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,776,Gemini-Builder,1789002694964,1071,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,778,Gemini-Builder,1789002697847,1149,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,788,Gemini-Builder,1789002738772,753,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,793,Gemini-Builder,1789002752654,1101,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,800,Gemini-Builder,1789002792513,1155,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,806,Gemini-Builder,1789002820060,1340,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,811,Gemini-Builder,1789002834901,905,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,813,Gemini-Builder,1789002837691,1352,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,820,Gemini-Builder,1789002876394,760,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,825,Gemini-Builder,1789002891139,733,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2180,Gemini-Builder,1789005493477,532,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2182,Gemini-Builder,1789005495643,10643,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2186,Gemini-Builder,1789005509419,600022,failed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2196,Gemini-Builder,1789005551831,705,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2202,Gemini-Builder,1789005567799,725,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2208,Gemini-Builder,1789005585922,707,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2214,Gemini-Builder,1789005604643,826,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2221,Gemini-Builder,1789005629560,688,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2224,Gemini-Builder,1789005634707,2760,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2226,Gemini-Builder,1789005641403,1385,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2232,Gemini-Builder,1789005663850,1226,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2234,Gemini-Builder,1789005672883,2991,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2237,Gemini-Builder,1789005678114,882,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2243,Gemini-Builder,1789005694369,2648,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2248,Gemini-Builder,1789005713158,2753,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2250,Gemini-Builder,1789005718303,1177,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2252,Gemini-Builder,1789005721601,1240,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2258,Gemini-Builder,1789005737980,2632,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2260,Gemini-Builder,1789005742567,1136,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2263,Gemini-Builder,1789005747746,1156,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2268,Gemini-Builder,1789005766917,2796,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2271,Gemini-Builder,1789005772199,1114,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2276,Gemini-Builder,1789005789254,2910,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2278,Gemini-Builder,1789005794834,1077,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2281,Gemini-Builder,1789005798126,1086,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2286,Gemini-Builder,1789005815146,2636,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2289,Gemini-Builder,1789005821033,1194,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2294,Gemini-Builder,1789005838304,2848,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2297,Gemini-Builder,1789005847261,1118,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2299,Gemini-Builder,1789005850188,1069,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2304,Gemini-Builder,1789005867877,2689,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2307,Gemini-Builder,1789005872925,1199,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2312,Gemini-Builder,1789005890271,3227,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2314,Gemini-Builder,1789005895476,1277,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2317,Gemini-Builder,1789005899115,1228,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2322,Gemini-Builder,1789005917990,3090,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2325,Gemini-Builder,1789005922793,1416,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2327,Gemini-Builder,1789005926837,1461,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2332,Gemini-Builder,1789005945839,3473,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2335,Gemini-Builder,1789005951879,1466,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2340,Gemini-Builder,1789005970142,3292,completed
ci_status_calls,Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,2343,Gemini-Builder,1789005975821,49,completed
