file,agent,provider,session_id,prompt_count,native_total
AGY-2026-09-07T21-14-50-153Z.jsonl,AGY,unknown,,0,
Architect-2026-09-07T20-33-34-733Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,65069a2d-01bd-4283-bb78-3f0343c80bf4,62,28966955
Architect-2026-09-08T18-06-22-605Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,3e8eb73f-92b3-4ece-9088-3b9511933dcb,0,0
Architect-2026-09-08T18-19-45-991Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,8f56efd7-b701-4950-a301-7b243bceabff,0,0
Architect-2026-09-08T18-33-17-072Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,77c156f1-d295-4716-882f-cf5f6e3d8b97,13,4851150
Architect-2026-09-08T21-51-18-079Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,9bdfe5b2-2a2a-4a8b-87aa-c5f52ca9469b,6,2938017
Architect-2026-09-09T07-22-19-542Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,de24bf4c-b68d-403b-add3-96287e34f960,2,1321245
Architect-2026-09-09T18-54-59-775Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,f0dae1b1-e9cb-44df-a9a6-51a39d6457fb,7,2022732
Architect-2026-09-09T23-02-40-792Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,f548b796-f2c5-4a7c-979c-c1bc94ffc9f9,5,1807104
Architect-2026-09-10T00-18-39-447Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,96200a82-147d-4d48-a392-bf3875178bcf,7,1866055
Architect-2026-09-10T03-30-39-476Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,0826fc6d-c1c2-4fdd-a4dc-38d6e2e52110,3,331780
Astra-Reviewer-2026-09-08T00-43-35-774Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a07e78-6bc4-74b2-95f3-155b9f6f7c79,13,7311082
Astra-Reviewer-2026-09-08T18-07-19-514Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a08233-fd72-7a91-92fe-be08a80ca323,0,
Astra-Reviewer-2026-09-08T18-20-34-491Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a08240-1de3-7360-a48b-0cd9c1ce3d4d,0,
